Id	Source	Target	Developer Note	Max Length	Comment	Xliff Generator Note	NAB AL Tool Refresh Xlf	State	State Qualifier
Page 3587107671 - Control 3005676566 - Property 1295455071	Specifies the number of Composition Quality opened.					Page Quality Manager Activities - Control Comp. Qlty - Pending Approval - Property ToolTip	New translation.		
Page 3587107671 - Control 174838176 - Property 1295455071	Specifies the number of Composition Quality opened.					Page Quality Manager Activities - Control Purch Document - Open Qlty. - Property ToolTip	New translation.		
Page 3587107671 - Control 1297587313 - Property 1295455071	Specifies the number of Composition Quality opened.					Page Quality Manager Activities - Control Purch Document - Pending Qlty. - Property ToolTip	New translation.		
Page 3587107671 - Control 3455024340 - Property 1295455071	Specifies the number of Composition Quality opened.					Page Quality Manager Activities - Control Sales Document - Open Qlty. - Property ToolTip	New translation.		
Page 3587107671 - Control 30398213 - Property 1295455071	Specifies the number of Composition Quality opened.					Page Quality Manager Activities - Control Sales Document - Pending Qlty. - Property ToolTip	New translation.		
Page 3587107671 - Action 3497960150 - Property 1295455071	Create a new sales order for items or services that require partial posting.					Page Quality Manager Activities - Action New Sales Order - Property ToolTip	New translation.		
Page 3587107671 - Action 3497960150 - Property 2879900210	New Sales Order					Page Quality Manager Activities - Action New Sales Order - Property Caption	New translation.		
Page 3587107671 - Action 438248642 - Property 1295455071	Offer items or services to a customer.					Page Quality Manager Activities - Action New Sales Quote - Property ToolTip	New translation.		
Page 3587107671 - Action 438248642 - Property 2879900210	New Sales Quote					Page Quality Manager Activities - Action New Sales Quote - Property Caption	New translation.		
Page 3451987683 - Property 2879900210	Quality Director					Page Quality Manager Role Center - Property Caption	New translation.		
Page 3451987683 - Action 1856194291 - Property 1295455071	Create a new sales credit memo to revert a posted sales invoice.					Page Quality Manager Role Center - Action Sales &Credit Memo - Property ToolTip	New translation.		
Page 3451987683 - Action 1856194291 - Property 2879900210	Sales &Credit Memo					Page Quality Manager Role Center - Action Sales &Credit Memo - Property Caption	New translation.		
Page 3451987683 - Action 1576679897 - Property 1295455071	Manage sales processes, view KPIs, and access your favorite items and customers.					Page Quality Manager Role Center - Action embedding - Property ToolTip	New translation.		
Page 3451987683 - Action 1690647457 - Property 1295455071	Register received payments by manually applying them to the related customer, vendor, or bank ledger entries. Then, post the payments to G/L accounts and thereby close the related ledger entries.					Page Quality Manager Role Center - Action CashReceiptJournals - Property ToolTip	New translation.		
Page 3451987683 - Action 1690647457 - Property 2879900210	Cash Receipt Journals					Page Quality Manager Role Center - Action CashReceiptJournals - Property Caption	New translation.		
Page 3451987683 - Action 3606140129 - Property 1295455071	View or edit detailed information for the customers that you trade with. From each customer card, you can open related information, such as sales statistics and ongoing orders, and you can define special prices and line discounts that you grant if certain conditions are met.					Page Quality Manager Role Center - Action Customers - Property ToolTip	New translation.		
Page 3451987683 - Action 3606140129 - Property 2879900210	Customers					Page Quality Manager Role Center - Action Customers - Property Caption	New translation.		
Page 3451987683 - Action 3724520305 - Property 1295455071	Post item transactions directly to the item ledger to adjust inventory in connection with purchases, sales, and positive or negative adjustments without using documents. You can save sets of item journal lines as standard journals so that you can perform recurring postings quickly. A condensed version of the item journal function exists on item cards for quick adjustment of an items inventory quantity.					Page Quality Manager Role Center - Action Item Journals - Property ToolTip	New translation.		
Page 3451987683 - Action 3724520305 - Property 2879900210	Item Journals					Page Quality Manager Role Center - Action Item Journals - Property Caption	New translation.		
Page 3451987683 - Action 1554554962 - Property 1295455071	View or edit detailed information for the products that you trade in. The item card can be of type Inventory or Service to specify if the item is a physical unit or a labor time unit. Here you also define if items in inventory or on incoming orders are automatically reserved for outbound documents and whether order tracking links are created between demand and supply to reflect planning actions.					Page Quality Manager Role Center - Action Items - Property ToolTip	New translation.		
Page 3451987683 - Action 1554554962 - Property 2879900210	Items					Page Quality Manager Role Center - Action Items - Property Caption	New translation.		
Page 3451987683 - Action 561664318 - Property 1295455071	Post any sales-related transaction directly to a customer, bank, or general ledger account instead of using dedicated documents. You can post all types of financial sales transactions, including payments, refunds, and finance charge amounts. Note that you cannot post item quantities with a sales journal.					Page Quality Manager Role Center - Action SalesJournals - Property ToolTip	New translation.		
Page 3451987683 - Action 561664318 - Property 2879900210	Sales Journals					Page Quality Manager Role Center - Action SalesJournals - Property Caption	New translation.		
Page 3451987683 - Action 1159415319 - Property 1295455071	Record your agreements with customers to sell certain products on certain delivery and payment terms. Sales orders, unlike sales invoices, allow you to ship partially, deliver directly from your vendor to your customer, initiate warehouse handling, and print various customer-facing documents. Sales invoicing is integrated in the sales order process.					Page Quality Manager Role Center - Action SalesOrders - Property ToolTip	New translation.		
Page 3451987683 - Action 1159415319 - Property 2879900210	Sales Orders					Page Quality Manager Role Center - Action SalesOrders - Property Caption	New translation.		
